MIDA_ID,c1,c2,c3,MIDA_material,HU,Source
87,0.760784,0.533333,0,Hyoid Bone,130,Hyoid bone development: An assessment of optimal CT scanner parameters and 3D volume rendering techniques - PMC
88,0.858824,0.929412,0.619608,Submandibular Gland,50,
89,0.505882,0.423529,0.521569,Parotid Gland,50,
90,1,0.54902,0.45098,Sublingual Gland,50,
91,0.619608,0.717647,1,Muscle - Superior Rectus,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
92,1,0.67451,0.168627,Muscle - Medial Rectus,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
93,0.266667,0.282353,0.576471,Muscle - Lateral Rectus,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
94,0.945098,0,0.745098,Muscle - Inferior Rectus,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
95,0,1,1,Muscle - Superior Oblique,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
96,1,1,0,Muscle - Inferior Oblique,50,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
97,0,0,0,Air Internal - Oral Cavity,-1000,Hounsfield unit | Radiology Reference Article | Radiopaedia.org
98,0,0.282353,0.043137,Tendon - Temporalis Tendon,95,Imaging of Tendons and Bursae | Radiology Key
99,0,0.847059,0,Substantia Nigra,9999,
100,0.360784,0,0.862745,Cerebral Peduncles,8888,
101,1,0,0,Optic Chiasm,8888,
102,0,0.984314,0,Cranial Nerve I - Olfactory,9999,
103,0.25098,0.568627,0.639216,Cranial Nerve II - Optic,9999,
104,0,0,1,Cranial Nerve III - Oculomotor,9999,
105,0.65098,0.196078,0.458824,Cranial Nerve IV - Trochlear,9999,
106,0.458824,0.290196,0.792157,Cranial Nerve V - Trigeminal,9999,
107,0.929412,0,0.929412,Cranial Nerve V2 - Maxillary Division,9999,
108,1,0.890196,0,Cranial Nerve V3 - Mandibular Division,9999,
109,1,0,1,Cranial Nerve VI - Abducens,9999,
110,0.513726,0.803922,0.556863,Cranial Nerve VII - Facial,9999,
111,0.623529,1,1,Cranial Nerve VIII - Vestibulocochlear,9999,
112,0,1,0,Cranial Nerve IX - Glossopharyngeal,9999,
113,0.65098,0.376471,0.596078,Cranial Nerve X - Vagus,9999,
114,0.082353,0.458824,0.207843,Cranial Nerve XI - Accessory,9999,
115,1,1,0,Cranial Nerve XII - Hypoglossal,9999,
116,0,0,1,Thalamus,9999,
